unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,BCG,68,69,65,72,74,82,80,78,76,74,72,78,71,68,64,66,60,60,57,51,44,46,43,30
ECAR,ALB,Albania,BCG,99,99,99,98,99,99,99,99,99,99,99,96,97,99,97,99,98,97,98,97,95,94,93,93
MENA,DZA,Algeria,BCG,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,97
ESAR,AGO,Angola,BCG,73,60,56,58,69,72,69,40,64,72,71,73,74,79,70,73,75,54,51,63,54,76,70,53
LACR,ARG,Argentina,BCG,69,81,80,75,85,93,95,92,96,99,99,99,99,99,99,99,99,99,99,99,99,95,92,95
ECAR,ARM,Armenia,BCG,99,98,98,99,99,99,99,99,99,99,99,96,96,95,99,98,94,91,94,96,92,97,96,97
ECAR,AZE,Azerbaijan,BCG,95,96,95,94,96,97,97,98,98,98,98,98,99,98,95,92,88,86,82,82,83,82,83,81
ROSA,BGD,Bangladesh,BCG,99,99,99,99,99,99,99,99,99,99,99,98,99,98,99,99,98,97,97,96,93,95,95,94
ECAR,BLR,Belarus,BCG,98,98,98,97,97,98,98,98,97,98,99,98,99,99,98,98,98,99,99,99,99,99,99,99
LACR,BLZ,Belize,BCG,88,92,84,76,95,99,90,94,98,98,99,98,98,98,99,98,99,97,96,99,99,96,98,96
WCAR,BEN,Benin,BCG,93,89,90,86,87,87,88,88,96,96,95,96,88,90,93,96,97,93,88,89,90,90,91,92
ROSA,BTN,Bhutan,BCG,97,99,99,98,92,99,99,99,99,99,97,95,95,96,94,99,94,92,92,92,93,83,81,97
LACR,BOL,Bolivia (Plurinational State of),BCG,74,76,78,82,80,90,93,96,99,94,94,99,99,98,93,90,87,87,88,86,96,93,90,92
ECAR,BIH,Bosnia and Herzegovina,BCG,95,96,94,96,96,95,97,97,95,98,97,96,94,96,97,96,98,97,95,95,94,91,95,93
ESAR,BWA,Botswana,BCG,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99
LACR,BRA,Brazil,BCG,79,88,69,73,85,98,94,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,BRN,Brunei Darussalam,BCG,99,99,99,99,99,99,99,99,99,99,99,99,96,95,99,99,96,99,94,99,95,95,99,99
ECAR,BGR,Bulgaria,BCG,97,96,97,97,96,96,96,96,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98
WCAR,BFA,Burkina Faso,BCG,98,98,98,98,98,98,98,98,98,98,96,96,99,99,99,99,99,99,99,99,83,90,80,81
ESAR,BDI,Burundi,BCG,89,94,95,83,93,91,92,93,93,92,95,98,90,93,98,99,97,98,89,91,90,88,87,85
WCAR,CPV,Cabo Verde,BCG,98,98,98,98,98,96,98,96,94,99,94,99,99,99,99,99,99,99,99,99,98,97,96,96
EAPR,KHM,Cambodia,BCG,91,95,92,94,95,90,99,99,99,98,96,99,98,95,96,98,90,87,87,95,76,63,64,81
WCAR,CMR,Cameroon,BCG,93,69,80,79,78,82,85,80,81,86,84,84,83,83,81,91,89,96,90,83,82,79,79,78
WCAR,CAF,Central African Republic,BCG,61,61,61,61,61,61,61,61,64,68,37,74,74,74,74,74,74,74,74,73,72,71,70,66
WCAR,TCD,Chad,BCG,92,92,92,85,75,51,59,59,70,58,60,62,53,58,47,31,45,57,41,41,40,46,52,49
